,선명,역명,주소,위도,경도
201,6호선,약수,서울특별시 중구 다산로 지하115(신당동),37.5587251,127.0120213
202,6호선,역촌,서울특별시 은평구 서오릉로 지하63(녹번동),37.6005677,126.938577
203,6호선,연신내,서울특별시 은평구 통일로 지하849(갈현동),37.621541,126.913578
204,6호선,월곡(동덕여대),서울특별시 성북구 월곡로 지하107(하월곡동),37.5971779,127.0392309
205,6호선,월드컵경기장(성산),서울특별시 마포구 월드컵로 지하240(성산동),37.5592762,126.9138751
206,6호선,응암,서울특별시 은평구 증산로 지하477(신사동),37.595613,126.9072033
207,6호선,이태원,서울특별시 용산구 이태원로 지하177(이태원동),37.5342345,126.9905368
208,6호선,증산(명지대앞),서울특별시 은평구 증산로 지하306(증산동),37.5841679,126.9059643
209,6호선,창신,서울특별시 종로구 지봉로 지하112(창신동),37.5753626,127.0154315
210,6호선,청구,서울특별시 중구 청구로 지하77(신당동),37.5607672,127.0144712
211,6호선,태릉입구,서울특별시 노원구 동일로 지하 992-1(공릉동),37.6304722,127.0909904
212,6호선,한강진,서울특별시 용산구 이태원로 지하287(한남동),37.5339827,127.0110273
213,6호선,합정,서울특별시 마포구 양화로 지하45(합정동),37.5495753,126.9139908
214,6호선,화랑대(서울여대입구),서울특별시 노원구 화랑로 지하510(공릉동),37.6280947,127.091262
215,6호선,효창공원앞,서울특별시 용산구 백범로 지하287(효창동),37.5395736,126.963503
216,7호선,가산디지털단지,서울특별시 금천구 벚꽃로 309(가산동),37.4824123,126.8822401
217,7호선,강남구청,서울특별시 강남구 학동로 지하346(삼성동),37.51673170000001,127.042221
218,7호선,건대입구,서울특별시 광진구 능동로 지하110(화양동),37.5463089,127.0729231
219,7호선,고속터미널,서울특별시 서초구 신반포로 지하188(반포동),37.5054982,127.0011512
220,7호선,공릉(서울과학기술대),서울특별시 노원구 동일로 지하1074(공릉동),37.6304722,127.0909904
221,7호선,광명사거리,경기도 광명시 오리로 지하980(광명동),37.4717061,126.8526377
