호선명,역명,04시-05시 승하차인원,05시-06시 승하차인원,06시-07시 승하차인원,07시-08시 승하차인원,08시-09시 승하차인원,09시-10시 승하차인원,10시-11시 승하차인원,11시-12시 승하차인원,12시-13시 승하차인원,13시-14시 승하차인원,14시-15시 승하차인원,15시-16시 승하차인원,16시-17시 승하차인원,17시-18시 승하차인원,18시-19시 승하차인원,19시-20시 승하차인원,20시-21시 승하차인원,21시-22시 승하차인원,22시-23시 승하차인원,23시-24시 승하차인원,00시-01시 승하차인원,01시-02시 승하차인원,02시-03시 승하차인원,03시-04시 승하차인원,총 승차인원,지하철역,주소
3호선,잠원,2,2177,11540,18161,26528,17581,12711,12927,13472,14484,13509,15102,19287,22420,22763,15474,10413,10646,10109,4807,956,3,3,0,275074,잠원,서울특별시
3호선,종로3가,35,1701,6884,17060,47168,46852,39255,35710,35578,35192,36682,38103,40453,50974,71079,39850,23144,23510,18551,9018,1194,22,8,2,618024,종로3가,서울특별시
3호선,충무로,22,2211,10928,28322,71428,40588,28907,27976,26417,29341,30266,30354,35848,53604,75821,33452,23722,24493,19145,8852,1281,35,2,1,603008,충무로,서울특별시
3호선,학여울,6,768,3482,7589,13254,9629,8386,7706,8794,9628,9585,10156,10814,12001,12350,6391,4312,3807,2951,1483,345,2,0,0,143438,학여울,서울특별시
3호선,홍제,89,11234,30921,75196,94688,64633,50035,47142,51397,49727,49247,54530,62782,70741,89054,65658,41983,38008,31404,18506,3299,11,4,0,1000289,홍제,서울특별시
4호선,길음,19,12257,40339,100723,115489,73943,55858,53524,56257,58368,56507,60333,73536,88953,111950,81510,53157,48486,47085,25249,4916,22,0,0,1218480,길음,서울특별시
4호선,남태령,48,538,2345,6162,9094,5092,3630,3506,3673,3351,3415,3541,4735,6726,5997,3348,2710,1964,1245,688,142,0,0,0,71950,남태령,서울특별시
4호선,노원,259,12454,31127,64143,84755,64325,50231,49826,57448,59945,58674,63557,74272,89225,115198,89970,63514,57368,50875,29721,7278,569,0,0,1174733,노원,서울특별시
4호선,당고개,57,8282,19974,45231,46372,32345,25784,23970,24677,24742,24446,25731,29225,32379,38069,32742,21721,18999,16733,11250,3106,288,1,0,506121,당고개,서울특별시
4호선,동대문,213,6787,16914,39363,76868,75740,74030,76781,75723,78544,84631,86475,88888,103807,77769,48964,35062,32906,20176,11272,1563,73,0,0,1112547,동대문,서울특별시
4호선,동대문역사문화공원,305,6938,17148,34066,74019,48252,41012,43325,45022,48025,52712,56154,60459,79250,98542,64006,45705,41971,31966,17588,3544,75,8,1,910094,동대문역사문화공원,서울특별시
4호선,동작,10,514,2582,4960,7769,5917,4981,4844,4718,5150,5301,5994,6526,8058,8998,5154,4908,3386,2447,1290,400,57,0,0,93965,동작(현충원),서울특별시
