,사용월,호선명,지하철역,04시-05시 승하차인원,05시-06시 승하차인원,06시-07시 승하차인원,07시-08시 승하차인원,08시-09시 승하차인원,09시-10시 승하차인원,10시-11시 승하차인원,11시-12시 승하차인원,12시-13시 승하차인원,13시-14시 승하차인원,14시-15시 승하차인원,15시-16시 승하차인원,16시-17시 승하차인원,17시-18시 승하차인원,18시-19시 승하차인원,19시-20시 승하차인원,20시-21시 승하차인원,21시-22시 승하차인원,22시-23시 승하차인원,23시-24시 승하차인원,00시-01시 승하차인원,01시-02시 승하차인원,02시-03시 승하차인원,03시-04시 승하차인원,총 승차인원
4516,202210,7호선,군자(능동),51,10260,21472,45382,86103,55954,33589,30690,32772,34215,33294,37144,43654,55309,76005,52853,36902,34557,29698,16330,4245,36,0,0,770515
4517,202210,7호선,까치울,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
4518,202210,7호선,남구로,68,20120,23537,59458,126262,68762,35349,29307,29696,31074,28409,33147,45461,72477,100569,52904,32469,29404,22105,11498,2169,0,0,0,854245
4519,202210,7호선,남성,16,7247,17405,44784,71489,46295,31345,29322,29700,30761,28747,31841,37011,42245,56168,40280,27213,25464,21971,12562,3383,1,0,0,635250
4520,202210,7호선,내방,3,3614,17865,41945,106956,66744,35650,30916,33602,36112,35064,37779,44187,62273,97144,46669,30857,29078,21848,10675,3630,171,0,0,792782
4521,202210,7호선,노원,47,9703,22172,55540,84373,71716,60224,62827,68487,71842,73155,78919,84568,90966,104946,79800,54470,42331,40354,19315,4918,0,0,0,1180673
4522,202210,7호선,논현,23,4024,19178,48392,111528,102520,47355,34943,35332,38937,40812,44190,51076,79369,124832,68444,43657,44929,40420,22206,4728,1,0,0,1006896
4523,202210,7호선,대림(구로구청),58,13250,12545,21588,39898,31583,28365,30306,28842,29736,29931,32315,35361,42711,44693,29558,21955,21542,17127,8799,1402,0,0,0,521565
4524,202210,7호선,도봉산,78,6457,22786,58333,58969,43090,35010,28805,28319,27741,27226,32169,36836,38219,47260,44826,26717,23152,21275,12949,4637,61,0,0,624915
4525,202210,7호선,뚝섬유원지,23,5879,13659,28177,42876,32032,21654,20908,23858,27007,28646,34108,40736,47519,56880,41047,32833,31644,25125,12102,2451,3,0,0,569167
4526,202210,7호선,마들,11,11407,28205,70306,73888,42549,32647,31772,34263,33105,31823,35797,39668,43235,57897,52466,31371,25984,24032,15081,4245,3,0,0,719755
4527,202210,7호선,먹골,10,8688,16601,40084,61088,35463,26070,25667,27725,27406,25952,29346,34428,40201,52541,41961,26965,23185,20662,11642,3050,85,0,0,578820
4528,202210,7호선,면목,73,14278,30368,64671,101648,61153,41974,37068,41390,41499,38701,44960,57549,61704,75033,63743,38571,33179,30809,16650,4692,0,0,0,899713
4529,202210,7호선,반포,5,2372,13311,20552,32090,25106,16671,16826,18201,18680,18516,20407,27489,27210,29949,19279,14428,14387,10970,4761,876,0,0,0,352086
4530,202210,7호선,보라매,15,5450,10449,27832,51657,27501,19354,18708,20446,19663,19343,21078,25491,31483,44699,27991,19352,17733,14848,8313,2528,37,0,0,433971
